Respondent,OpenSource,Hobby,ConvertedSalary,CommunicationTools,LanguageWorkedWith,OperatingSystem,CompanySize,Country
Respondente_1378,No,No,0.0,Confluence,C++,Windows,500 to 999 employees,Germany
Respondente_1379,No,No,376952.8,Confluence,Java,Windows,Fewer than 10 employees,Belgium
Respondente_1380,Yes,Yes,0.0,nan,nan,,,Germany
Respondente_1381,Yes,Yes,0.0,Facebook,JavaScript,Linux-based,100 to 499 employees,Brazil
Respondente_1382,No,Yes,465763.19999999995,Office / productivity suite ,JavaScript,MacOS,Fewer than 10 employees,Australia
Respondente_1383,Yes,Yes,694400.0,Slack,Clojure,MacOS,100 to 499 employees,United States
Respondente_1384,Yes,Yes,972439.9999999999,Confluence,C#,Windows,,United Kingdom
Respondente_1385,No,Yes,370070.39999999997,Confluence,Java,MacOS,100 to 499 employees,Germany
Respondente_1386,Yes,Yes,11200000.0,Office / productivity suite ,C,Windows,100 to 499 employees,United States
Respondente_1387,Yes,Yes,0.0,Slack,C,Linux-based,,United States
Respondente_1388,No,No,58732.799999999996,Slack,Java,Windows,Fewer than 10 employees,Turkey
Respondente_1389,No,No,0.0,Confluence,C#,Windows,"5,000 to 9,999 employees",Finland
Respondente_1390,No,Yes,0.0,nan,nan,,100 to 499 employees,India
Respondente_1391,No,Yes,0.0,nan,nan,,,United States
Respondente_1392,No,Yes,5600000.0,Jira,C#,Windows,"10,000 or more employees",United Kingdom
Respondente_1393,Yes,Yes,209462.4,Office / productivity suite ,Java,MacOS,"10,000 or more employees",China
Respondente_1394,Yes,Yes,777862.3999999999,Confluence,C#,Windows,100 to 499 employees,United Kingdom
Respondente_1395,No,Yes,299577.6,Office / productivity suite ,C++,Windows,"1,000 to 4,999 employees",South Africa
Respondente_1396,Yes,Yes,0.0,nan,nan,Windows,Fewer than 10 employees,"Iran, Islamic Republic of..."
Respondente_1397,No,Yes,280000.0,Office / productivity suite ,C,Linux-based,"1,000 to 4,999 employees",United States
Respondente_1398,No,Yes,560000.0,Google Hangouts/Chat,C++,Linux-based,"10,000 or more employees",United States
Respondente_1399,Yes,Yes,287884.8,Jira,JavaScript,Linux-based,100 to 499 employees,Germany
Respondente_1400,Yes,Yes,1456000.0,Facebook,C,MacOS,,United States
Respondente_1401,Yes,Yes,0.0,nan,C,Linux-based,,United States
Respondente_1402,No,No,0.0,Other chat system ,C,MacOS,20 to 99 employees,Israel
Respondente_1403,Yes,Yes,855646.3999999999,Jira,Python,Windows,,United Kingdom
Respondente_1404,Yes,Yes,0.0,nan,C#,Windows,"1,000 to 4,999 employees",France
Respondente_1405,Yes,Yes,201532.8,Office / productivity suite ,C,MacOS,100 to 499 employees,Netherlands
Respondente_1406,No,No,654836.0,Slack,C#,Windows,,New Zealand
Respondente_1407,Yes,Yes,840000.0,Office / productivity suite ,C#,MacOS,"10,000 or more employees",United States
Respondente_1408,Yes,No,168420.0,Slack,Assembly,Linux-based,"10,000 or more employees",Russian Federation
Respondente_1409,No,Yes,0.0,nan,Java,MacOS,,Sweden
Respondente_1410,No,Yes,0.0,nan,nan,,,Canada
Respondente_1411,Yes,Yes,329011.19999999995,Google Hangouts/Chat,C,MacOS,,Germany
Respondente_1412,No,Yes,387520.0,Confluence,C++,Windows,100 to 499 employees,United States
Respondente_1413,No,Yes,431782.39999999997,Confluence,C#,Windows,100 to 499 employees,Netherlands
Respondente_1414,No,Yes,259727.99999999997,Confluence,C#,Windows,100 to 499 employees,Lithuania
Respondente_1415,Yes,Yes,753911.2,Slack,JavaScript,Windows,20 to 99 employees,Germany
Respondente_1416,Yes,Yes,324307.19999999995,Confluence,R,BSD/Unix,,Czech Republic
Respondente_1417,No,Yes,0.0,nan,nan,,"1,000 to 4,999 employees",United Kingdom
Respondente_1418,Yes,Yes,97104.0,Slack,Go,MacOS,10 to 19 employees,Romania
Respondente_1419,Yes,Yes,142396.8,Google Hangouts/Chat,Java,Windows,20 to 99 employees,Turkey
Respondente_1420,Yes,Yes,156800.0,Google Hangouts/Chat,C,Linux-based,Fewer than 10 employees,United States
Respondente_1421,No,Yes,0.0,nan,nan,,,United States
Respondente_1422,No,Yes,420000.0,nan,Assembly,Windows,,United States
Respondente_1423,Yes,Yes,12364.8,Slack,C#,Windows,,Netherlands
Respondente_1424,No,No,157180.8,Office / productivity suite ,C#,Windows,100 to 499 employees,Brazil
Respondente_1425,No,No,0.0,nan,nan,,20 to 99 employees,Italy
Respondente_1426,Yes,Yes,0.0,Facebook,C,Windows,10 to 19 employees,India
Respondente_1427,Yes,Yes,280000.0,nan,C,MacOS,,United States
Respondente_1428,Yes,Yes,67200.0,nan,JavaScript,MacOS,,Ukraine
Respondente_1429,Yes,No,178348.8,Facebook,C#,Windows,20 to 99 employees,Russian Federation
Respondente_1430,Yes,Yes,252515.19999999998,Jira,C#,Windows,10 to 19 employees,Canada
Respondente_1431,No,Yes,369482.39999999997,Office / productivity suite ,Java,Windows,20 to 99 employees,United Kingdom
Respondente_1432,Yes,Yes,336000.0,Confluence,C,Windows,"5,000 to 9,999 employees",Ukraine
Respondente_1433,No,Yes,36960.0,Other wiki tool ,C,Windows,20 to 99 employees,"Iran, Islamic Republic of..."
Respondente_1434,No,No,554400.0,Google Hangouts/Chat,C#,MacOS,"10,000 or more employees",United States
Respondente_1435,No,Yes,219318.4,Jira,C++,MacOS,10 to 19 employees,Germany
Respondente_1436,Yes,Yes,616000.0,Slack,JavaScript,MacOS,"10,000 or more employees",United States
Respondente_1437,Yes,Yes,0.0,Jira,CoffeeScript,Linux-based,100 to 499 employees,Netherlands
Respondente_1438,No,No,210470.4,HipChat,JavaScript,Windows,20 to 99 employees,Ukraine
Respondente_1439,Yes,Yes,1120000.0,Confluence,C,MacOS,,United States
Respondente_1440,Yes,Yes,0.0,Google Hangouts/Chat,Go,MacOS,"10,000 or more employees",India
Respondente_1441,Yes,Yes,728000.0,Confluence,C#,MacOS,100 to 499 employees,United States
Respondente_1442,No,No,0.0,nan,C,Windows,,Australia
Respondente_1443,No,Yes,419356.0,Jira,Java,Windows,"1,000 to 4,999 employees",Canada
Respondente_1444,No,Yes,0.0,Google Hangouts/Chat,C#,Windows,,India
Respondente_1445,Yes,Yes,503059.19999999995,Confluence,JavaScript,MacOS,100 to 499 employees,Brazil
Respondente_1446,Yes,No,503999.99999999994,Facebook,Assembly,Linux-based,100 to 499 employees,United States
Respondente_1447,No,No,26275.199999999997,Google Hangouts/Chat,JavaScript,Linux-based,20 to 99 employees,India
Respondente_1448,Yes,Yes,728000.0,Confluence,Go,MacOS,500 to 999 employees,United States
Respondente_1449,No,Yes,179200.0,Google Hangouts/Chat,Java,MacOS,10 to 19 employees,United States
Respondente_1450,No,No,317368.8,Confluence,JavaScript,MacOS,"1,000 to 4,999 employees",United Kingdom
Respondente_1451,Yes,Yes,0.0,Office / productivity suite ,C#,Windows,,United Kingdom
Respondente_1452,Yes,Yes,213836.0,Office / productivity suite ,CoffeeScript,Linux-based,Fewer than 10 employees,France
Respondente_1453,Yes,Yes,0.0,nan,Groovy,Linux-based,100 to 499 employees,France
Respondente_1454,No,Yes,185068.8,Office / productivity suite ,Java,MacOS,500 to 999 employees,Spain
Respondente_1455,Yes,Yes,784000.0,Jira,C,Windows,20 to 99 employees,United States
Respondente_1456,No,Yes,542018.4,nan,C#,Windows,500 to 999 employees,Brazil
Respondente_1457,No,Yes,616000.0,Confluence,Java,MacOS,"10,000 or more employees",United States
Respondente_1458,Yes,Yes,559815.2,Confluence,C#,Windows,500 to 999 employees,Australia
Respondente_1459,Yes,Yes,237148.8,Confluence,JavaScript,MacOS,100 to 499 employees,Poland
Respondente_1460,Yes,No,113086.4,Jira,C,Windows,"10,000 or more employees",Spain
Respondente_1461,No,Yes,350039.19999999995,Confluence,C#,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_1462,Yes,Yes,917492.7999999999,Confluence,C++,Linux-based,"10,000 or more employees",Israel
Respondente_1463,No,No,0.0,nan,C#,Windows,,Canada
Respondente_1464,Yes,Yes,951999.9999999999,Slack,C,MacOS,,United States
Respondente_1465,No,No,230294.4,Other wiki tool ,Assembly,Windows,Fewer than 10 employees,Netherlands
Respondente_1466,Yes,Yes,392000.0,Google Hangouts/Chat,JavaScript,Linux-based,Fewer than 10 employees,United States
Respondente_1467,Yes,Yes,784000.0,Google Hangouts/Chat,Matlab,Windows,20 to 99 employees,United States
Respondente_1468,Yes,Yes,411224.8,Jira,C,MacOS,10 to 19 employees,Germany
Respondente_1469,No,Yes,314160.0,Confluence,Java,MacOS,500 to 999 employees,China
Respondente_1470,No,No,0.0,nan,C,,,India
Respondente_1471,No,Yes,233357.59999999998,Office / productivity suite ,R,Windows,"1,000 to 4,999 employees",United Kingdom
Respondente_1472,Yes,No,26297.6,Facebook,CoffeeScript,Linux-based,500 to 999 employees,India
Respondente_1473,No,Yes,0.0,Confluence,Ruby,MacOS,100 to 499 employees,United Kingdom
Respondente_1474,No,No,342686.39999999997,nan,Groovy,Windows,100 to 499 employees,France
Respondente_1475,No,No,471878.39999999997,Google Hangouts/Chat,C,Windows,10 to 19 employees,Israel
Respondente_1476,No,No,207513.59999999998,Office / productivity suite ,JavaScript,Windows,"10,000 or more employees",Poland
Respondente_1477,Yes,Yes,134400.0,Google Hangouts/Chat,JavaScript,Windows,"10,000 or more employees",United States
Respondente_1478,Yes,Yes,0.0,nan,C#,Windows,100 to 499 employees,United Kingdom
Respondente_1479,No,Yes,503999.99999999994,Google Hangouts/Chat,JavaScript,MacOS,,United States
Respondente_1480,No,No,896000.0,Confluence,nan,,"1,000 to 4,999 employees",United States
Respondente_1481,No,Yes,0.0,Confluence,Assembly,Windows,500 to 999 employees,Israel
Respondente_1482,Yes,Yes,62899.2,Slack,C#,MacOS,Fewer than 10 employees,Brazil
Respondente_1483,Yes,Yes,0.0,nan,nan,,20 to 99 employees,Indonesia
Respondente_1484,No,No,110880.0,Office / productivity suite ,C#,Windows,100 to 499 employees,Costa Rica
Respondente_1485,No,Yes,4031.9999999999995,Facebook,C++,Windows,20 to 99 employees,"Venezuela, Bolivarian Republic of..."
Respondente_1486,No,Yes,52600.799999999996,Office / productivity suite ,C#,Windows,100 to 499 employees,India
Respondente_1487,Yes,No,503999.99999999994,Slack,Java,MacOS,"10,000 or more employees",United States
Respondente_1488,No,Yes,503999.99999999994,Slack,JavaScript,MacOS,100 to 499 employees,United States
Respondente_1489,No,Yes,757120.0,Google Hangouts/Chat,Erlang,MacOS,Fewer than 10 employees,United States
Respondente_1490,Yes,Yes,462453.6,Confluence,C,Windows,"1,000 to 4,999 employees",Switzerland
Respondente_1491,Yes,Yes,260439.19999999998,Confluence,C++,Linux-based,20 to 99 employees,Germany
Respondente_1492,No,Yes,463881.6,Jira,C#,Windows,10 to 19 employees,Denmark
Respondente_1493,Yes,Yes,1092000.0,Jira,Go,MacOS,100 to 499 employees,United States
Respondente_1494,No,No,0.0,Office / productivity suite ,C#,Windows,100 to 499 employees,Germany
Respondente_1495,No,Yes,775040.0,Jira,JavaScript,Linux-based,100 to 499 employees,United States
Respondente_1496,No,Yes,0.0,nan,nan,,,
Respondente_1497,Yes,Yes,0.0,nan,nan,,20 to 99 employees,United States
Respondente_1498,Yes,Yes,257599.99999999997,Trello,C#,Windows,100 to 499 employees,United States
Respondente_1499,Yes,Yes,1120000.0,Jira,Assembly,Linux-based,20 to 99 employees,United States
Respondente_1500,Yes,Yes,181507.19999999998,Office / productivity suite ,PHP,MacOS,100 to 499 employees,Japan
Respondente_1501,No,No,65385.6,Jira,JavaScript,MacOS,20 to 99 employees,Russian Federation
Respondente_1502,Yes,Yes,0.0,Slack,Go,MacOS,10 to 19 employees,United Kingdom
Respondente_1503,No,No,24662.399999999998,nan,Assembly,Windows,,Slovenia
Respondente_1504,Yes,Yes,576800.0,Confluence,Java,Linux-based,100 to 499 employees,United States
Respondente_1505,Yes,No,48585.6,Stack Overflow Enterprise,JavaScript,Windows,,Dominican Republic
Respondente_1506,Yes,Yes,335328.0,Confluence,C#,Windows,20 to 99 employees,Sweden
Respondente_1507,Yes,Yes,115516.79999999999,Office / productivity suite ,C#,Windows,100 to 499 employees,Mexico
Respondente_1508,Yes,Yes,0.0,Other chat system ,C,Windows,,Germany
Respondente_1509,Yes,Yes,164505.59999999998,Office / productivity suite ,C,Windows,"1,000 to 4,999 employees",Germany
Respondente_1510,No,Yes,0.0,nan,nan,,,India
Respondente_1511,No,Yes,0.0,Jira,C#,MacOS,10 to 19 employees,Germany
Respondente_1512,Yes,Yes,672000.0,Confluence,C,MacOS,100 to 499 employees,United States
Respondente_1513,No,Yes,420000.0,Slack,C,Linux-based,"10,000 or more employees",United States
Respondente_1514,No,Yes,122729.59999999999,nan,R,MacOS,"1,000 to 4,999 employees",India
Respondente_1515,Yes,Yes,5376000.0,HipChat,JavaScript,MacOS,10 to 19 employees,United States
Respondente_1516,Yes,Yes,125731.2,Facebook,Groovy,MacOS,"1,000 to 4,999 employees",Brazil
Respondente_1517,No,Yes,123379.2,Other chat system ,C#,Windows,,Malta
Respondente_1518,No,Yes,33600.0,Jira,C++,Windows,10 to 19 employees,"Venezuela, Bolivarian Republic of..."
Respondente_1519,No,Yes,450917.6,Office / productivity suite ,C,Linux-based,100 to 499 employees,Canada
Respondente_1520,No,Yes,0.0,nan,JavaScript,Windows,,Romania
Respondente_1521,Yes,Yes,0.0,Google Hangouts/Chat,C#,MacOS,"1,000 to 4,999 employees",Nigeria
Respondente_1522,No,Yes,276662.39999999997,Confluence,Assembly,Windows,500 to 999 employees,Poland
Respondente_1523,Yes,Yes,588000.0,Confluence,Assembly,MacOS,10 to 19 employees,United States
Respondente_1524,No,Yes,197366.4,Jira,C#,Windows,100 to 499 employees,Portugal
Respondente_1525,Yes,Yes,0.0,nan,CoffeeScript,,20 to 99 employees,India
Respondente_1526,No,Yes,162019.19999999998,Jira,JavaScript,Windows,,Poland
Respondente_1527,No,Yes,644000.0,Confluence,Java,Windows,100 to 499 employees,United States
Respondente_1528,No,No,302400.0,Confluence,C#,Windows,100 to 499 employees,United States
Respondente_1529,Yes,Yes,148041.59999999998,Other chat system ,C#,Linux-based,"10,000 or more employees",Austria
Respondente_1530,Yes,Yes,228480.0,Slack,JavaScript,MacOS,20 to 99 employees,Ukraine
Respondente_1531,No,Yes,448000.0,Office / productivity suite ,JavaScript,MacOS,Fewer than 10 employees,United States
Respondente_1532,Yes,Yes,560000.0,Slack,C#,Windows,100 to 499 employees,United States
Respondente_1533,No,Yes,4358995.2,nan,C#,Windows,100 to 499 employees,Germany
Respondente_1534,No,No,3289776.0,Jira,JavaScript,Windows,"10,000 or more employees",France
Respondente_1535,No,Yes,728000.0,Office / productivity suite ,C#,Windows,"10,000 or more employees",United States
Respondente_1536,Yes,Yes,2800000.0,Google Hangouts/Chat,C,Linux-based,"10,000 or more employees",United States
Respondente_1537,No,Yes,840000.0,nan,C#,Windows,"1,000 to 4,999 employees",United States
Respondente_1538,No,Yes,302859.19999999995,nan,C#,Windows,10 to 19 employees,New Zealand
Respondente_1539,No,No,154560.0,Other chat system ,JavaScript,Windows,,Ukraine
Respondente_1540,No,No,281002.39999999997,Office / productivity suite ,nan,,10 to 19 employees,Netherlands
Respondente_1541,No,Yes,134400.0,Confluence,C#,Windows,100 to 499 employees,Belarus
Respondente_1542,No,No,125731.2,Office / productivity suite ,Java,Windows,500 to 999 employees,Brazil
Respondente_1543,No,No,38925.6,Slack,JavaScript,Windows,500 to 999 employees,India
Respondente_1544,Yes,Yes,0.0,Slack,Assembly,Linux-based,Fewer than 10 employees,Brazil
Respondente_1545,No,No,350660.8,Confluence,C++,Linux-based,"10,000 or more employees",India
Respondente_1546,Yes,Yes,57590.399999999994,HipChat,C,Windows,20 to 99 employees,Germany
Respondente_1547,Yes,Yes,272249.6,Confluence,C#,Windows,Fewer than 10 employees,United Kingdom
Respondente_1548,No,Yes,143925.59999999998,Slack,C#,MacOS,20 to 99 employees,Spain
Respondente_1549,Yes,Yes,49996.799999999996,Jira,C,MacOS,"1,000 to 4,999 employees",India
Respondente_1550,No,Yes,171130.4,nan,C,MacOS,,United Kingdom
Respondente_1551,Yes,Yes,496008.8,Confluence,C,Linux-based,10 to 19 employees,Canada
Respondente_1552,Yes,Yes,503999.99999999994,Confluence,Assembly,Linux-based,100 to 499 employees,United States
Respondente_1553,Yes,Yes,0.0,nan,C++,Linux-based,,France
Respondente_1554,Yes,Yes,184094.4,Facebook,JavaScript,MacOS,Fewer than 10 employees,India
Respondente_1555,No,Yes,67200.0,Google Hangouts/Chat,Java,Linux-based,Fewer than 10 employees,Lebanon
Respondente_1556,Yes,Yes,0.0,nan,nan,,,"Iran, Islamic Republic of..."
Respondente_1557,No,Yes,0.0,Other chat system ,Java,Windows,"10,000 or more employees",India
Respondente_1558,No,No,0.0,nan,Java,Windows,,India
Respondente_1559,Yes,Yes,355023.19999999995,Office / productivity suite ,C#,MacOS,20 to 99 employees,Austria
Respondente_1560,No,Yes,0.0,nan,nan,,"1,000 to 4,999 employees",United States
Respondente_1561,No,Yes,0.0,nan,nan,,Fewer than 10 employees,United Kingdom
Respondente_1562,No,Yes,61364.799999999996,Slack,C,Windows,"5,000 to 9,999 employees",India
Respondente_1563,No,Yes,376952.8,Facebook,C++,MacOS,20 to 99 employees,France
Respondente_1564,Yes,Yes,0.0,Google Hangouts/Chat,C#,Windows,500 to 999 employees,Argentina
Respondente_1565,Yes,No,68409.59999999999,Google Hangouts/Chat,Java,Linux-based,10 to 19 employees,India
Respondente_1566,Yes,No,700688.7999999999,Confluence,Java,MacOS,20 to 99 employees,Switzerland
Respondente_1567,No,Yes,301565.6,Slack,Java,Linux-based,20 to 99 employees,Germany
Respondente_1568,Yes,Yes,54499.2,Facebook,Java,Linux-based,100 to 499 employees,Brazil
Respondente_1569,No,Yes,0.0,nan,nan,,,Russian Federation
Respondente_1570,No,No,739200.0,Google Hangouts/Chat,C#,Windows,Fewer than 10 employees,United States
Respondente_1571,Yes,Yes,2822.3999999999996,Facebook,Java,Windows,,Nigeria
Respondente_1572,No,Yes,0.0,nan,nan,,,Poland
Respondente_1573,Yes,Yes,728000.0,Confluence,C,MacOS,100 to 499 employees,United States
Respondente_1574,Yes,Yes,0.0,nan,nan,,100 to 499 employees,United States
Respondente_1575,Yes,Yes,17808.0,Facebook,JavaScript,Windows,Fewer than 10 employees,Turkey
Respondente_1576,Yes,Yes,8400.0,nan,C,Windows,,Brazil
Respondente_1577,Yes,Yes,0.0,nan,C++,Linux-based,,Germany
Respondente_1578,Yes,Yes,0.0,nan,Assembly,,Fewer than 10 employees,Netherlands
Respondente_1579,No,No,302528.8,Jira,Python,Windows,100 to 499 employees,Japan
Respondente_1580,Yes,No,0.0,nan,nan,,10 to 19 employees,Brazil
Respondente_1581,No,No,0.0,nan,C#,Windows,100 to 499 employees,United Kingdom
Respondente_1582,Yes,Yes,700000.0,nan,Java,Windows,20 to 99 employees,United States
Respondente_1583,Yes,Yes,219318.4,Confluence,C,Windows,500 to 999 employees,Germany
Respondente_1584,No,Yes,0.0,Confluence,C#,Windows,"10,000 or more employees",Sweden
Respondente_1585,No,No,186681.59999999998,Office / productivity suite ,C#,Windows,20 to 99 employees,United Kingdom
Respondente_1586,Yes,Yes,40320.0,Facebook,C++,Windows,20 to 99 employees,Cuba
Respondente_1587,Yes,Yes,274148.0,Slack,C,Linux-based,"5,000 to 9,999 employees",Italy
Respondente_1588,No,No,700000.0,Confluence,SQL,Windows,"10,000 or more employees",United States
Respondente_1589,No,No,0.0,nan,nan,,,
Respondente_1590,No,No,0.0,nan,nan,,20 to 99 employees,Denmark
Respondente_1591,No,No,254351.99999999997,Office / productivity suite ,Java,Windows,"1,000 to 4,999 employees",Singapore
Respondente_1592,No,Yes,234729.59999999998,Slack,C#,Windows,20 to 99 employees,Sweden
Respondente_1593,Yes,Yes,98112.0,nan,C#,Windows,"5,000 to 9,999 employees",Switzerland
Respondente_1594,Yes,No,777862.3999999999,Jira,JavaScript,MacOS,,United Kingdom
Respondente_1595,Yes,Yes,0.0,nan,nan,,500 to 999 employees,United States
Respondente_1596,Yes,Yes,171343.19999999998,Facebook,JavaScript,Windows,100 to 499 employees,Ireland
Respondente_1597,Yes,Yes,358282.39999999997,Office / productivity suite ,Java,Windows,100 to 499 employees,Australia
Respondente_1598,Yes,Yes,0.0,nan,C,Linux-based,,Spain
Respondente_1599,Yes,No,168000.0,Other wiki tool ,Python,Windows,10 to 19 employees,Turkey
Respondente_1600,No,Yes,365596.0,Google Hangouts/Chat,JavaScript,MacOS,20 to 99 employees,United Kingdom
Respondente_1601,No,No,0.0,nan,Java,Linux-based,20 to 99 employees,Spain
Respondente_1602,No,No,3763.2,Office / productivity suite ,Assembly,Windows,,Nigeria
Respondente_1603,No,Yes,414400.0,Confluence,C#,Windows,100 to 499 employees,United States
Respondente_1604,No,Yes,392302.39999999997,Confluence,C,Windows,10 to 19 employees,Canada
Respondente_1605,No,Yes,80035.2,Facebook,Java,MacOS,20 to 99 employees,Thailand
Respondente_1606,No,Yes,0.0,Facebook,nan,,10 to 19 employees,India
Respondente_1607,No,Yes,0.0,nan,nan,,,France
Respondente_1608,No,No,157819.19999999998,Slack,JavaScript,MacOS,Fewer than 10 employees,Canada
Respondente_1609,Yes,Yes,0.0,nan,nan,,,China
Respondente_1610,No,Yes,1478.3999999999999,nan,C#,Windows,,Indonesia
Respondente_1611,Yes,Yes,287884.8,Confluence,C++,Linux-based,20 to 99 employees,Belgium
Respondente_1612,No,No,302114.39999999997,Confluence,CoffeeScript,MacOS,20 to 99 employees,Canada
Respondente_1613,Yes,No,315644.0,Jira,C++,Windows,10 to 19 employees,Canada
Respondente_1614,No,Yes,42537.6,Slack,C,MacOS,20 to 99 employees,Pakistan
Respondente_1615,No,Yes,2333587.1999999997,nan,Java,Linux-based,Fewer than 10 employees,United Kingdom
Respondente_1616,No,No,445491.19999999995,Confluence,Java,Windows,20 to 99 employees,Germany
Respondente_1617,No,Yes,767200.0,Slack,C#,Windows,20 to 99 employees,United States
Respondente_1618,No,Yes,29702.399999999998,Other chat system ,JavaScript,Windows,"1,000 to 4,999 employees",Russian Federation
Respondente_1619,No,Yes,0.0,Office / productivity suite ,nan,,500 to 999 employees,United Kingdom
Respondente_1620,No,Yes,822444.0,Office / productivity suite ,C#,Windows,,Germany
Respondente_1621,Yes,Yes,166454.4,Confluence,C#,Windows,"5,000 to 9,999 employees",Russian Federation
Respondente_1622,No,Yes,270552.8,Slack,JavaScript,MacOS,"5,000 to 9,999 employees",Canada
Respondente_1623,Yes,Yes,272249.6,Confluence,JavaScript,MacOS,20 to 99 employees,United Kingdom
Respondente_1624,No,Yes,0.0,nan,nan,,,India
Respondente_1625,Yes,No,700000.0,Google Hangouts/Chat,C#,Windows,"1,000 to 4,999 employees",United States
Respondente_1626,No,No,0.0,nan,nan,,20 to 99 employees,United States
Respondente_1627,No,No,0.0,nan,JavaScript,,,United States
Respondente_1628,Yes,Yes,0.0,nan,Java,Linux-based,"5,000 to 9,999 employees",Mexico
Respondente_1629,Yes,Yes,5600000.0,Jira,JavaScript,MacOS,,Netherlands
Respondente_1630,No,No,896000.0,Confluence,C,MacOS,100 to 499 employees,United States
Respondente_1631,No,Yes,329011.19999999995,Confluence,Java,MacOS,"10,000 or more employees",Finland
Respondente_1632,Yes,No,14179.199999999999,Facebook,Java,Windows,10 to 19 employees,India
Respondente_1633,Yes,Yes,42604.799999999996,Google Hangouts/Chat,JavaScript,Linux-based,100 to 499 employees,India
Respondente_1634,Yes,Yes,1344000.0,Google Hangouts/Chat,C#,Windows,,United States
Respondente_1635,Yes,No,0.0,Slack,nan,,100 to 499 employees,United States
Respondente_1636,Yes,Yes,5600000.0,Google Hangouts/Chat,C#,Windows,,Ireland
Respondente_1637,No,Yes,246758.4,Slack,C#,Windows,,Finland
Respondente_1638,No,Yes,425600.0,Office / productivity suite ,C++,Windows,"10,000 or more employees",United States
Respondente_1639,No,No,767200.0,Confluence,Java,Windows,"10,000 or more employees",United States
Respondente_1640,No,Yes,95088.0,Confluence,Python,MacOS,"1,000 to 4,999 employees",Russian Federation
Respondente_1641,Yes,Yes,0.0,nan,Assembly,Windows,Fewer than 10 employees,India
Respondente_1642,No,Yes,383807.19999999995,Confluence,Java,Windows,"10,000 or more employees",Germany
Respondente_1643,Yes,Yes,287884.8,Facebook,C++,Windows,500 to 999 employees,Germany
Respondente_1644,No,Yes,0.0,nan,Assembly,Windows,,India
Respondente_1645,No,Yes,37699.2,Google Hangouts/Chat,JavaScript,MacOS,Fewer than 10 employees,Brazil
Respondente_1646,No,Yes,0.0,nan,C#,MacOS,,United States
Respondente_1647,No,Yes,342686.39999999997,Other chat system ,C#,Windows,20 to 99 employees,Germany
Respondente_1648,Yes,Yes,435926.39999999997,Jira,Java,Linux-based,100 to 499 employees,Germany
Respondente_1649,No,Yes,3266995.1999999997,nan,JavaScript,Linux-based,10 to 19 employees,United Kingdom
Respondente_1650,No,Yes,509599.99999999994,Office / productivity suite ,C#,Windows,500 to 999 employees,United States
Respondente_1651,No,No,560000.0,nan,C#,Windows,10 to 19 employees,United States
Respondente_1652,No,Yes,198122.4,Jira,C#,Windows,100 to 499 employees,India
Respondente_1653,No,No,143925.59999999998,Google Hangouts/Chat,CoffeeScript,Linux-based,10 to 19 employees,Spain
Respondente_1654,No,Yes,0.0,nan,nan,,"10,000 or more employees",Mexico
Respondente_1655,No,Yes,565600.0,Office / productivity suite ,C#,Windows,"10,000 or more employees",United States
Respondente_1656,No,Yes,0.0,nan,nan,,20 to 99 employees,Germany
Respondente_1657,Yes,Yes,471122.39999999997,Confluence,Java,Windows,100 to 499 employees,Germany
Respondente_1658,No,Yes,764920.7999999999,Office / productivity suite ,C++,Windows,10 to 19 employees,Switzerland
Respondente_1659,Yes,Yes,0.0,nan,C,,100 to 499 employees,Germany
Respondente_1660,Yes,Yes,5600000.0,nan,Assembly,Linux-based,,Canada
Respondente_1661,Yes,Yes,470399.99999999994,Confluence,C++,Windows,"5,000 to 9,999 employees",United States
Respondente_1662,No,Yes,0.0,Other wiki tool ,Assembly,Windows,100 to 499 employees,United States
Respondente_1663,No,Yes,777862.3999999999,Confluence,C++,Windows,100 to 499 employees,United Kingdom
Respondente_1664,No,No,602000.0,Office / productivity suite ,C#,Windows,100 to 499 employees,United States
Respondente_1665,No,No,198357.59999999998,nan,C#,Windows,,United Kingdom
Respondente_1666,Yes,Yes,0.0,nan,nan,,,Malta
Respondente_1667,Yes,No,0.0,nan,PHP,Windows,,Bangladesh
Respondente_1668,Yes,Yes,210397.59999999998,Confluence,CoffeeScript,Linux-based,500 to 999 employees,India
Respondente_1669,No,Yes,445491.19999999995,Confluence,C,Linux-based,100 to 499 employees,France
Respondente_1670,No,Yes,420000.0,Confluence,Clojure,MacOS,20 to 99 employees,United States
Respondente_1671,Yes,Yes,123110.4,Confluence,JavaScript,Linux-based,"1,000 to 4,999 employees",India
Respondente_1672,No,Yes,180969.59999999998,Other chat system ,C++,Windows,10 to 19 employees,Bulgaria
Respondente_1673,No,Yes,56000.0,Google Hangouts/Chat,C,Windows,Fewer than 10 employees,United States
Respondente_1674,No,Yes,466715.19999999995,Confluence,C++,Windows,100 to 499 employees,United Kingdom
Respondente_1675,No,Yes,342686.39999999997,Slack,Objective-C,MacOS,10 to 19 employees,France
Respondente_1676,Yes,Yes,224044.8,Slack,Java,MacOS,10 to 19 employees,United Kingdom
Respondente_1677,No,Yes,456400.0,Office / productivity suite ,JavaScript,Linux-based,"10,000 or more employees",United States
Respondente_1678,Yes,Yes,616834.3999999999,Confluence,Java,Linux-based,,France
Respondente_1679,No,Yes,560000.0,Slack,JavaScript,MacOS,20 to 99 employees,United States
